accuracy,macro_f1,model,scenario,selector_auroc,selector_f1
0.755,0.7051222238209397,full_attribution,ID,0.9787840901752193,0.8402084237950499
0.38716666666666666,0.2561440703896022,state_only,ID,0.6916794910746524,0.41516516516516516
,,failure_risk,ID,0.9888711773839722,
0.73225,0.7031791986808112,full_attribution,OOD_PREVALENCE,0.97521481116854,0.8690728945506015
0.3253333333333333,0.22545332469024756,state_only,OOD_PREVALENCE,0.6533865523725233,0.48508430609597925
,,failure_risk,OOD_PREVALENCE,0.9886118204247829,
