auroc,brier,component,ece,exact_match,f1,micro_f1,scenario
0.927966075612153,0.10155881023334372,G,0.09467346061276566,,0.7228789072760704,,ID
0.9370969970570756,0.09267008126096558,V,0.07476112100710974,,0.7606565720829622,,ID
0.9648845204250067,0.07175397126269988,X,0.06215781223766392,,0.8083912672277107,,ID
0.9327600360760355,0.10015912353738218,E,0.08994678100616484,,0.7302180685358255,,ID
,0.09153549657359784,aggregate,0.08038479371592604,0.6206,0.7555362037806423,0.7562229864024986,ID
0.9108258926762816,0.12592331034586354,G,0.11115105877280015,,0.7416674811846349,,OOD_DUAL_SHIFT
0.9329487826499803,0.10520774333375967,V,0.07310100180065168,,0.7972985475067074,,OOD_DUAL_SHIFT
0.9563428239004786,0.08843733864887271,X,0.0721629458274504,,0.8300590256365078,,OOD_DUAL_SHIFT
0.9079996535451006,0.12949194676070633,E,0.10494190927948065,,0.7379523549736315,,OOD_DUAL_SHIFT
,0.11226508477230056,aggregate,0.09033922892009573,0.541,0.7767443523253703,0.7777086358293577,OOD_DUAL_SHIFT
