clean_target,context,delay,final_abs_error,final_estimate,mean_online_abs_error,method,regime,selector_brier,selector_ece,updates
0.879751552795031,ood_A_to_C_noisy,0,0.37975155279503103,0.5,0.379751552795031,STATIC,C_high_non_selector,0.0609984865634271,0.06114851809077985,0
0.879751552795031,ood_A_to_C_noisy,0,0.5324904572332557,0.3472610955617753,0.5335974359710426,NAIVE,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,0,0.0001886027081177133,0.8795629500869133,0.004702049789251481,ORACLE,C_high_non_selector,0.0,0.0,4025
0.879751552795031,ood_A_to_C_noisy,0,0.07634346053700058,0.8034080922580304,0.075134870135612,PREDICTED,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,0,0.05638833235661267,0.8233632204384184,0.05480930938777608,GATED,C_high_non_selector,0.0609984865634271,0.06114851809077985,1404
0.879751552795031,ood_A_to_C_noisy,1,0.37975155279503103,0.5,0.379751552795031,STATIC,C_high_non_selector,0.0609984865634271,0.06114851809077985,0
0.879751552795031,ood_A_to_C_noisy,1,0.5324904572332557,0.3472610955617753,0.5335974359710426,NAIVE,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,1,0.0001886027081177133,0.8795629500869133,0.004702049789251481,ORACLE,C_high_non_selector,0.0,0.0,4025
0.879751552795031,ood_A_to_C_noisy,1,0.07634346053700058,0.8034080922580304,0.075134870135612,PREDICTED,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,1,0.05638833235661267,0.8233632204384184,0.05480930938777608,GATED,C_high_non_selector,0.0609984865634271,0.06114851809077985,1404
0.879751552795031,ood_A_to_C_noisy,3,0.37975155279503103,0.5,0.379751552795031,STATIC,C_high_non_selector,0.0609984865634271,0.06114851809077985,0
0.879751552795031,ood_A_to_C_noisy,3,0.5324904572332557,0.3472610955617753,0.5335363820778213,NAIVE,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,3,0.0001886027081177133,0.8795629500869133,0.004853863003359778,ORACLE,C_high_non_selector,0.0,0.0,4025
0.879751552795031,ood_A_to_C_noisy,3,0.07634346053700058,0.8034080922580304,0.0752562337498339,PREDICTED,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,3,0.05638833235661267,0.8233632204384184,0.054938654675951444,GATED,C_high_non_selector,0.0609984865634271,0.06114851809077985,1404
0.879751552795031,ood_A_to_C_noisy,5,0.37975155279503103,0.5,0.379751552795031,STATIC,C_high_non_selector,0.0609984865634271,0.06114851809077985,0
0.879751552795031,ood_A_to_C_noisy,5,0.5324904572332557,0.3472610955617753,0.533475343763716,NAIVE,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,5,0.0001886027081177133,0.8795629500869133,0.005005658256684549,ORACLE,C_high_non_selector,0.0,0.0,4025
0.879751552795031,ood_A_to_C_noisy,5,0.07634346053700058,0.8034080922580304,0.07537759079891933,PREDICTED,C_high_non_selector,0.0609984865634271,0.06114851809077985,5000
0.879751552795031,ood_A_to_C_noisy,5,0.05638833235661267,0.8233632204384184,0.055067999964126806,GATED,C_high_non_selector,0.0609984865634271,0.06114851809077985,1404
