clean_target,context,delay,final_abs_error,final_estimate,mean_online_abs_error,method,regime,selector_brier,selector_ece,updates
0.8192630597014925,id,0,0.3192630597014925,0.5,0.3192630597014925,STATIC,A_balanced,0.045094249675134,0.04586215843162242,0
0.8192630597014925,id,0,0.43001875742240414,0.38924430227908835,0.4221608570326227,NAIVE,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,0,0.00014884058727338,0.8191142191142191,0.00496473763405665,ORACLE,A_balanced,0.0,0.0,4288
0.8192630597014925,id,0,0.008210576554612992,0.8110524831468795,0.008598982946786023,PREDICTED,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,0,0.012354975735842322,0.8069080839656502,0.017625153966301873,GATED,A_balanced,0.045094249675134,0.04586215843162242,2001
0.8192630597014925,id,1,0.3192630597014925,0.5,0.3192630597014925,STATIC,A_balanced,0.045094249675134,0.04586215843162242,0
0.8192630597014925,id,1,0.43001875742240414,0.38924430227908835,0.4221608570326227,NAIVE,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,1,0.00014884058727338,0.8191142191142191,0.00496473763405665,ORACLE,A_balanced,0.0,0.0,4288
0.8192630597014925,id,1,0.008210576554612992,0.8110524831468795,0.008598982946786023,PREDICTED,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,1,0.012354975735842322,0.8069080839656502,0.017625153966301873,GATED,A_balanced,0.045094249675134,0.04586215843162242,2001
0.8192630597014925,id,3,0.3192630597014925,0.5,0.3192630597014925,STATIC,A_balanced,0.045094249675134,0.04586215843162242,0
0.8192630597014925,id,3,0.43001875742240414,0.38924430227908835,0.4221165614597373,NAIVE,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,3,0.00014884058727338,0.8191142191142191,0.005092358013159039,ORACLE,A_balanced,0.0,0.0,4288
0.8192630597014925,id,3,0.008210576554612992,0.8110524831468795,0.008723390545110066,PREDICTED,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,3,0.012354975735842322,0.8069080839656502,0.017747896176136528,GATED,A_balanced,0.045094249675134,0.04586215843162242,2001
0.8192630597014925,id,5,0.3192630597014925,0.5,0.3192630597014925,STATIC,A_balanced,0.045094249675134,0.04586215843162242,0
0.8192630597014925,id,5,0.43001875742240414,0.38924430227908835,0.42207216813929643,NAIVE,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,5,0.00014884058727338,0.8191142191142191,0.005219944621295435,ORACLE,A_balanced,0.0,0.0,4288
0.8192630597014925,id,5,0.008210576554612992,0.8110524831468795,0.008847768064982482,PREDICTED,A_balanced,0.045094249675134,0.04586215843162242,5000
0.8192630597014925,id,5,0.012354975735842322,0.8069080839656502,0.01787059854190899,GATED,A_balanced,0.045094249675134,0.04586215843162242,2001
